model,fold,val_accuracy,val_f1_macro
RF,1,0.7096774193548387,0.7036844536844536
RF,2,0.7213114754098361,0.7311782003927675
RF,3,0.7213114754098361,0.7182235225045028
RF,4,0.819672131147541,0.8220551378446116
RF,5,0.5081967213114754,0.49719284501893196
GBM,1,0.6612903225806451,0.6530007809077576
GBM,2,0.6721311475409836,0.6758563074352549
GBM,3,0.639344262295082,0.6245243128964059
GBM,4,0.6885245901639344,0.6926961926961926
GBM,5,0.5573770491803278,0.5614035087719298
SVM,1,0.6935483870967742,0.6850688993546137
SVM,2,0.7049180327868853,0.7048996223414828
SVM,3,0.6557377049180327,0.6403604920228961
SVM,4,0.7049180327868853,0.7070679517488028
SVM,5,0.5245901639344263,0.5090622537431048
kNN,1,0.5,0.43957307060755335
kNN,2,0.4918032786885246,0.4357825567502987
kNN,3,0.5081967213114754,0.46923472008217776
kNN,4,0.47540983606557374,0.42001161440185836
kNN,5,0.47540983606557374,0.41743589743589743
LR,1,0.6290322580645161,0.6259166142887074
LR,2,0.6229508196721312,0.616164457781112
LR,3,0.6721311475409836,0.6658312447786132
LR,4,0.5245901639344263,0.5130781499202551
LR,5,0.4918032786885246,0.48381180223285486
DT,1,0.5645161290322581,0.5580183521133456
DT,2,0.5081967213114754,0.5197368421052632
DT,3,0.5737704918032787,0.5567833775959787
DT,4,0.639344262295082,0.6354101362311053
DT,5,0.5737704918032787,0.5778309409888357
