model,class,cv_precision_mean,cv_precision_ci95,cv_recall_mean,cv_recall_ci95,cv_f1_mean,cv_f1_ci95,test_precision,test_recall,test_f1,test_support
RF,Dispersed Flow,0.8825396825396826,0.13025067912926322,0.7661904761904762,0.14017555050647584,0.8166989043074523,0.11179217731449854,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
RF,Plug Flow,0.557609710550887,0.24408023993929875,0.5471428571428572,0.2848724364325161,0.5471813518845994,0.252182740814594,0.5714285714285714,0.4444444444444444,0.5,18.0
RF,Slug Flow,0.6760058781797911,0.1151535202139392,0.7742857142857142,0.09272271386102945,0.7195202394751089,0.09195339793117087,0.5909090909090909,0.7222222222222222,0.65,18.0
GBM,Dispersed Flow,0.7990960894447231,0.0446473303054726,0.7757142857142857,0.12781525323158455,0.7844208015566645,0.0739710050410308,0.7142857142857143,0.8333333333333334,0.7692307692307693,18.0
GBM,Plug Flow,0.4916531039293187,0.09489808135840253,0.4704761904761905,0.1423748444551287,0.47643149643149646,0.10826166427132743,0.5,0.4444444444444444,0.47058823529411764,18.0
GBM,Slug Flow,0.6449825155774812,0.07110638884215707,0.6857142857142857,0.041123993639048534,0.6636363636363636,0.04661235328723646,0.6470588235294118,0.6111111111111112,0.6285714285714286,18.0
SVM,Dispersed Flow,0.8332270069112175,0.08671435981582372,0.7861904761904762,0.13277896479518347,0.8073260073260073,0.10157917104866787,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.0
SVM,Plug Flow,0.49557692307692314,0.17138211174755333,0.44952380952380955,0.24517512916924944,0.46445696008900017,0.1965751800855969,0.4666666666666667,0.3888888888888889,0.42424242424242425,18.0
SVM,Slug Flow,0.6380217005217006,0.08990482573589874,0.7338095238095239,0.13925284934038015,0.6760925641115326,0.0742250446332264,0.6190476190476191,0.7222222222222222,0.6666666666666666,18.0
kNN,Dispersed Flow,0.5172889834180157,0.06111942498096132,0.9414285714285713,0.06438450497681387,0.6655700286591484,0.04522069746673669,0.4146341463414634,0.9444444444444444,0.576271186440678,18.0
kNN,Plug Flow,0.422,0.091412109731915,0.3538095238095238,0.08633331049320994,0.3784802731144195,0.05438561810120169,0.2,0.1111111111111111,0.14285714285714285,18.0
kNN,Slug Flow,0.62,0.28314295539645495,0.17666666666666667,0.09442727528409958,0.2651724137931034,0.10792095322237986,0.6666666666666666,0.1111111111111111,0.19047619047619047,18.0
LR,Dispersed Flow,0.7619409194924069,0.0708700738283069,0.8252380952380953,0.14602657937100713,0.7906463304137723,0.1022574464493431,0.6190476190476191,0.7222222222222222,0.6666666666666666,18.0
LR,Plug Flow,0.3980085016462726,0.15577732186913187,0.42285714285714293,0.2291747369119196,0.40517543859649124,0.17698085414294082,0.3333333333333333,0.3333333333333333,0.3333333333333333,18.0
LR,Slug Flow,0.6094949494949495,0.16319363848521998,0.5214285714285714,0.180941707841482,0.547059592390662,0.11296000690016324,0.6,0.5,0.5454545454545454,18.0
DT,Dispersed Flow,0.7520199048345501,0.0376830492356196,0.7457142857142858,0.10662115154576449,0.7471767620980984,0.0630189271657893,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.0
DT,Plug Flow,0.4012087912087912,0.11384283585608088,0.4023809523809524,0.1570761462756329,0.39520758822842944,0.12485272342196124,0.5294117647058824,0.5,0.5142857142857142,18.0
DT,Slug Flow,0.5764814814814815,0.05384914965132412,0.5695238095238094,0.12433170420593848,0.5662834390941893,0.046930666023950206,0.5789473684210527,0.6111111111111112,0.5945945945945946,18.0
