model,fold,val_vsg_mae,val_vsl_mae
RF,1,0.07304284942532911,0.3205150618764663
RF,2,0.06621704986878758,0.2810781380127037
RF,3,0.07078945404129826,0.3015426221734188
RF,4,0.07218906910426512,0.3538142066672852
RF,5,0.07883885269143616,0.3250803250334954
GBM,1,0.07807914870545725,0.33639957828949646
GBM,2,0.0666302380667788,0.27812343490694535
GBM,3,0.07157767441247065,0.3166046867450645
GBM,4,0.06961197789471124,0.39511279017847695
GBM,5,0.08262678167012807,0.3392592799243876
SVM,1,0.07454270475723986,0.34414359144903356
SVM,2,0.06512875350819132,0.2713511592417755
SVM,3,0.07482834847630833,0.3023501061872933
SVM,4,0.08182580555223538,0.3576772063077848
SVM,5,0.08300896243938485,0.3143053854789002
kNN,1,0.08049620517208603,0.37379375612524923
kNN,2,0.07019662111629782,0.39109846377208307
kNN,3,0.08041976254330972,0.32428585757519
kNN,4,0.08287444711218504,0.41723183053641505
kNN,5,0.0954381635601208,0.3775171999026038
LR,1,0.2287566065788269,0.9871257543563843
LR,2,0.2803276479244232,1.0653797388076782
LR,3,0.25905880331993103,1.1232953071594238
LR,4,0.2085074931383133,1.4010045528411865
LR,5,0.21680451929569244,1.3148952722549438
DT,1,0.079242762603019,0.4051284948533926
DT,2,0.08109917390799022,0.4516802906954372
DT,3,0.0791030311280965,0.34958210458353667
DT,4,0.07843469810238707,0.47940787078754865
DT,5,0.08344781735296834,0.4177333551489639
