video_id,video_path,filename,flow_regime,flow_regime_idx,vsg,vsl,fps,duration,frame_count,resolution
V0000,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Dispersed-Flow\df-Vsg=0.05-Vsl=2.88-vid4.mp4,df-Vsg=0.05-Vsl=2.88-vid4.mp4,Dispersed Flow,0,0.05,2.88,30.0,27.266666666666666,818,1920x1080
V0001,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Dispersed-Flow\df-Vsg=0.053-Vsl=2.6-vid10.mp4,df-Vsg=0.053-Vsl=2.6-vid10.mp4,Dispersed Flow,0,0.053,2.6,30.0,22.966666666666665,689,1920x1080
V0002,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Dispersed-Flow\df-Vsg=0.1-Vsl=2.88-vid2.mp4,df-Vsg=0.1-Vsl=2.88-vid2.mp4,Dispersed Flow,0,0.1,2.88,30.0,21.966666666666665,659,1920x1080
V0003,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Dispersed-Flow\df-Vsg=0.11-Vsl=2.29-vid5.mp4,df-Vsg=0.11-Vsl=2.29-vid5.mp4,Dispersed Flow,0,0.11,2.29,30.0,23.033333333333335,691,1920x1080
V0004,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Dispersed-Flow\df-Vsg=0.113-Vsl=2.02-vid11.mp4,df-Vsg=0.113-Vsl=2.02-vid11.mp4,Dispersed Flow,0,0.113,2.02,30.0,22.866666666666667,686,1920x1080
V0005,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Dispersed-Flow\df-Vsg=0.15-Vsl=2.88-vid6.mp4,df-Vsg=0.15-Vsl=2.88-vid6.mp4,Dispersed Flow,0,0.15,2.88,30.0,22.5,675,1920x1080
V0006,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Dispersed-Flow\df-Vsg=0.164-Vsl=2.29-vid12.mp4,df-Vsg=0.164-Vsl=2.29-vid12.mp4,Dispersed Flow,0,0.164,2.29,30.0,22.7,681,1920x1080
V0007,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Dispersed-Flow\df-Vsg=0.17-Vsl=2.02-vid7.mp4,df-Vsg=0.17-Vsl=2.02-vid7.mp4,Dispersed Flow,0,0.17,2.02,30.0,22.233333333333334,667,1920x1080
V0008,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Dispersed-Flow\df-Vsg=0.2-Vsl=2.88-vid3.mp4,df-Vsg=0.2-Vsl=2.88-vid3.mp4,Dispersed Flow,0,0.2,2.88,30.0,22.366666666666667,671,1920x1080
V0009,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Dispersed-Flow\df-Vsg=0.21-Vsl=2.6-vid8.mp4,df-Vsg=0.21-Vsl=2.6-vid8.mp4,Dispersed Flow,0,0.21,2.6,30.0,21.966666666666665,659,1920x1080
